participant_id	session_id	run_id	qc_pass_fail	capping_quality	total_epochs_post_artifact_rej
935398	V03	n/a	Pass	Average	74
558533	V03	n/a	Pass	Average	93
184697	V03	n/a	Pass	Average	91
970270	V03	n/a	Pass	Average	102
182286	V03	n/a	Pass	Average	110
759042	V03	n/a	Pass	Average	109
862902	V03	n/a	Pass	Average	90
139276	V03	n/a	Pass	Average	101
547679	V03	n/a	Pass	Average	113
949008	V03	n/a	Pass	Average	116
738998	V03	n/a	Pass	Excellent	107
883146	V03	n/a	Pass	Average	67
747944	V03	n/a	Pass	Average	111
287717	V03	n/a	Pass	Excellent	109
317067	V03	n/a	Pass	Excellent	80
628690	V03	n/a	Pass	Excellent	116
960530	V03	n/a	Pass	Excellent	103
236907	V03	n/a	Pass	Excellent	51
308459	V03	n/a	Pass	Excellent	69
267232	V03	n/a	Pass	Average	96
893334	V03	n/a	Pass	Excellent	109
396706	V03	n/a	Pass	Excellent	86
709356	V03	n/a	Pass	Average	111
234939	V03	n/a	Pass	Excellent	120
320966	V03	n/a	Pass	Poor	111
523233	V03	n/a	Pass	Poor	98
213769	V03	n/a	Pass	Average	104
478862	V03	n/a	Pass	Average	80
685003	V03	n/a	Pass	Average	113
892487	V03	n/a	Pass	Average	118
882923	V03	n/a	Pass	Average	92
210317	V03	n/a	Pass	Average	112
291742	V03	n/a	Fail	Unusable	88
170499	V03	n/a	Pass	Average	97
197396	V03	n/a	Pass	Average	85
591303	V03	n/a	Pass	Poor	77
493805	V03	n/a	Fail	Unusable	84
281057	V03	n/a	Pass	Average	77
499474	V03	01	Pass	Average	97
499474	V03	02	Pass	Average	110
654077	V03	n/a	Pass	Excellent	102
284508	V03	n/a	Pass	Excellent	120
315493	V03	n/a	Pass	Excellent	114
674793	V03	n/a	Pass	Average	118
515059	V03	n/a	Fail	Unusable	108
307949	V03	n/a	Pass	Excellent	116
179272	V03	n/a	Pass	Average	119
957523	V03	n/a	Fail	Unusable	105
979675	V03	n/a	Pass	Average	109
255490	V03	n/a	Pass	Average	66
164209	V03	n/a	Pass	Excellent	115
298081	V03	n/a	Fail	Unusable	116
317304	V03	n/a	Pass	Poor	111
117774	V03	n/a	Pass	Poor	61
553112	V03	n/a	Pass	Average	99
800605	V03	n/a	Pass	Average	114
620027	V03	n/a	Pass	Average	117
645664	V03	n/a	Pass	Average	80
888706	V03	n/a	Pass	Average	89
832992	V03	n/a	Pass	Average	118
107528	V03	n/a	Pass	Excellent	113
573084	V03	n/a	Pass	Excellent	105
791024	V03	n/a	Fail	Unusable	109
629348	V03	n/a	Pass	Average	110
626805	V03	n/a	Pass	Average	81
865345	V03	n/a	Pass	Average	81
548802	V03	n/a	Pass	Excellent	43
410701	V03	n/a	Pass	Average	119
719200	V03	n/a	Pass	Excellent	98
860562	V03	n/a	Pass	Excellent	87
478219	V03	n/a	Pass	Average	102
698909	V03	n/a	Pass	Excellent	120
780192	V03	n/a	Pass	Excellent	108
707696	V03	n/a	Pass	Excellent	88
287950	V03	n/a	Pass	Average	119
